,region,sales_person,account
2923,Midwest,Delilah Krum,Amgen
2943,Midwest,Delilah Krum,AutoNation
2899,Midwest,Delilah Krum,Capital One Financial
3050,Midwest,Delilah Krum,Cummins
2521,Midwest,Carletta Kosinski,Danaher
2523,Midwest,Carletta Kosinski,Dollar General
3074,Midwest,Delilah Krum,Hartford Financial Services Group
2507,Midwest,Carletta Kosinski,International Paper
3060,Midwest,Delilah Krum,Kimberly-Clark
2482,Midwest,Carletta Kosinski,McDonald's
2495,Midwest,Carletta Kosinski,Northrop Grumman
2918,Midwest,Delilah Krum,Plains GP Holdings
2999,Midwest,Delilah Krum,Southwest Airlines
