,region,sales_person,account
3128,Midwest,Julie Starr,AbbVie
3129,Midwest,Julie Starr,AbbVie
3130,Midwest,Julie Starr,AbbVie
2462,Midwest,Chau Rowles,Abbott Laboratories
2452,Midwest,Chau Rowles,Abbott Laboratories
2481,Midwest,Chau Rowles,Abbott Laboratories
2480,Midwest,Chau Rowles,Abbott Laboratories
2479,Midwest,Chau Rowles,Abbott Laboratories
2478,Midwest,Chau Rowles,Abbott Laboratories
2477,Midwest,Chau Rowles,Abbott Laboratories
2476,Midwest,Chau Rowles,Abbott Laboratories
2475,Midwest,Chau Rowles,Abbott Laboratories
2474,Midwest,Chau Rowles,Abbott Laboratories
2473,Midwest,Chau Rowles,Abbott Laboratories
2472,Midwest,Chau Rowles,Abbott Laboratories
2471,Midwest,Chau Rowles,Abbott Laboratories
2470,Midwest,Chau Rowles,Abbott Laboratories
2469,Midwest,Chau Rowles,Abbott Laboratories
2468,Midwest,Chau Rowles,Abbott Laboratories
2467,Midwest,Chau Rowles,Abbott Laboratories
2466,Midwest,Chau Rowles,Abbott Laboratories
2465,Midwest,Chau Rowles,Abbott Laboratories
2464,Midwest,Chau Rowles,Abbott Laboratories
2463,Midwest,Chau Rowles,Abbott Laboratories
2461,Midwest,Chau Rowles,Abbott Laboratories
2460,Midwest,Chau Rowles,Abbott Laboratories
2459,Midwest,Chau Rowles,Abbott Laboratories
2458,Midwest,Chau Rowles,Abbott Laboratories
2457,Midwest,Chau Rowles,Abbott Laboratories
2456,Midwest,Chau Rowles,Abbott Laboratories
2454,Midwest,Chau Rowles,Abbott Laboratories
2453,Midwest,Chau Rowles,Abbott Laboratories
2455,Midwest,Chau Rowles,Abbott Laboratories
2813,Midwest,Cliff Meints,Aflac
2826,Midwest,Cliff Meints,Aflac
2827,Midwest,Cliff Meints,Aflac
2828,Midwest,Cliff Meints,Aflac
2829,Midwest,Cliff Meints,Aflac
2830,Midwest,Cliff Meints,Aflac
2831,Midwest,Cliff Meints,Aflac
2832,Midwest,Cliff Meints,Aflac
2833,Midwest,Cliff Meints,Aflac
2834,Midwest,Cliff Meints,Aflac
2825,Midwest,Cliff Meints,Aflac
2835,Midwest,Cliff Meints,Aflac
2837,Midwest,Cliff Meints,Aflac
2838,Midwest,Cliff Meints,Aflac
2839,Midwest,Cliff Meints,Aflac
2840,Midwest,Cliff Meints,Aflac
2841,Midwest,Cliff Meints,Aflac
2842,Midwest,Cliff Meints,Aflac
2843,Midwest,Cliff Meints,Aflac
2844,Midwest,Cliff Meints,Aflac
2845,Midwest,Cliff Meints,Aflac
2836,Midwest,Cliff Meints,Aflac
2814,Midwest,Cliff Meints,Aflac
2824,Midwest,Cliff Meints,Aflac
2822,Midwest,Cliff Meints,Aflac
2821,Midwest,Cliff Meints,Aflac
2820,Midwest,Cliff Meints,Aflac
2819,Midwest,Cliff Meints,Aflac
2818,Midwest,Cliff Meints,Aflac
2812,Midwest,Cliff Meints,Aflac
2811,Midwest,Cliff Meints,Aflac
2817,Midwest,Cliff Meints,Aflac
2810,Midwest,Cliff Meints,Aflac
2846,Midwest,Cliff Meints,Aflac
2823,Midwest,Cliff Meints,Aflac
2815,Midwest,Cliff Meints,Aflac
2816,Midwest,Cliff Meints,Aflac
2434,Midwest,Chau Rowles,Alcoa
2442,Midwest,Chau Rowles,Alcoa
2444,Midwest,Chau Rowles,Alcoa
2443,Midwest,Chau Rowles,Alcoa
2441,Midwest,Chau Rowles,Alcoa
2440,Midwest,Chau Rowles,Alcoa
2439,Midwest,Chau Rowles,Alcoa
2438,Midwest,Chau Rowles,Alcoa
2437,Midwest,Chau Rowles,Alcoa
2435,Midwest,Chau Rowles,Alcoa
2436,Midwest,Chau Rowles,Alcoa
2705,Midwest,Charles Bidwell,Altria Group
2707,Midwest,Charles Bidwell,Altria Group
2706,Midwest,Charles Bidwell,Altria Group
2704,Midwest,Charles Bidwell,Altria Group
2703,Midwest,Charles Bidwell,Altria Group
2702,Midwest,Charles Bidwell,Altria Group
2701,Midwest,Charles Bidwell,Altria Group
2700,Midwest,Charles Bidwell,Altria Group
2699,Midwest,Charles Bidwell,Altria Group
2698,Midwest,Charles Bidwell,Altria Group
2697,Midwest,Charles Bidwell,Altria Group
2708,Midwest,Charles Bidwell,Altria Group
2709,Midwest,Charles Bidwell,Altria Group
2717,Midwest,Charles Bidwell,Altria Group
2711,Midwest,Charles Bidwell,Altria Group
2731,Midwest,Charles Bidwell,Altria Group
2732,Midwest,Charles Bidwell,Altria Group
2734,Midwest,Charles Bidwell,Altria Group
2735,Midwest,Charles Bidwell,Altria Group
2736,Midwest,Charles Bidwell,Altria Group
2737,Midwest,Charles Bidwell,Altria Group
2738,Midwest,Charles Bidwell,Altria Group
2730,Midwest,Charles Bidwell,Altria Group
2739,Midwest,Charles Bidwell,Altria Group
2741,Midwest,Charles Bidwell,Altria Group
2742,Midwest,Charles Bidwell,Altria Group
2743,Midwest,Charles Bidwell,Altria Group
2744,Midwest,Charles Bidwell,Altria Group
2745,Midwest,Charles Bidwell,Altria Group
2746,Midwest,Charles Bidwell,Altria Group
2747,Midwest,Charles Bidwell,Altria Group
2740,Midwest,Charles Bidwell,Altria Group
2729,Midwest,Charles Bidwell,Altria Group
2733,Midwest,Charles Bidwell,Altria Group
2727,Midwest,Charles Bidwell,Altria Group
2712,Midwest,Charles Bidwell,Altria Group
2713,Midwest,Charles Bidwell,Altria Group
2714,Midwest,Charles Bidwell,Altria Group
2715,Midwest,Charles Bidwell,Altria Group
2728,Midwest,Charles Bidwell,Altria Group
2718,Midwest,Charles Bidwell,Altria Group
2719,Midwest,Charles Bidwell,Altria Group
2720,Midwest,Charles Bidwell,Altria Group
2716,Midwest,Charles Bidwell,Altria Group
2710,Midwest,Charles Bidwell,Altria Group
2722,Midwest,Charles Bidwell,Altria Group
2723,Midwest,Charles Bidwell,Altria Group
2724,Midwest,Charles Bidwell,Altria Group
2725,Midwest,Charles Bidwell,Altria Group
2726,Midwest,Charles Bidwell,Altria Group
2721,Midwest,Charles Bidwell,Altria Group
2936,Midwest,Delilah Krum,Amgen
2937,Midwest,Delilah Krum,Amgen
2938,Midwest,Delilah Krum,Amgen
2939,Midwest,Delilah Krum,Amgen
2942,Midwest,Delilah Krum,Amgen
2941,Midwest,Delilah Krum,Amgen
2935,Midwest,Delilah Krum,Amgen
2923,Midwest,Delilah Krum,Amgen
2940,Midwest,Delilah Krum,Amgen
2934,Midwest,Delilah Krum,Amgen
2927,Midwest,Delilah Krum,Amgen
2932,Midwest,Delilah Krum,Amgen
2933,Midwest,Delilah Krum,Amgen
2928,Midwest,Delilah Krum,Amgen
2926,Midwest,Delilah Krum,Amgen
2929,Midwest,Delilah Krum,Amgen
2924,Midwest,Delilah Krum,Amgen
2930,Midwest,Delilah Krum,Amgen
2931,Midwest,Delilah Krum,Amgen
2925,Midwest,Delilah Krum,Amgen
2593,Midwest,Charles Bidwell,Arrow Electronics
2592,Midwest,Charles Bidwell,Arrow Electronics
2585,Midwest,Charles Bidwell,Arrow Electronics
2591,Midwest,Charles Bidwell,Arrow Electronics
2590,Midwest,Charles Bidwell,Arrow Electronics
2589,Midwest,Charles Bidwell,Arrow Electronics
2588,Midwest,Charles Bidwell,Arrow Electronics
2587,Midwest,Charles Bidwell,Arrow Electronics
2586,Midwest,Charles Bidwell,Arrow Electronics
2584,Midwest,Charles Bidwell,Arrow Electronics
2580,Midwest,Charles Bidwell,Arrow Electronics
2582,Midwest,Charles Bidwell,Arrow Electronics
2581,Midwest,Charles Bidwell,Arrow Electronics
2579,Midwest,Charles Bidwell,Arrow Electronics
2578,Midwest,Charles Bidwell,Arrow Electronics
2577,Midwest,Charles Bidwell,Arrow Electronics
2573,Midwest,Charles Bidwell,Arrow Electronics
2576,Midwest,Charles Bidwell,Arrow Electronics
2575,Midwest,Charles Bidwell,Arrow Electronics
2574,Midwest,Charles Bidwell,Arrow Electronics
2594,Midwest,Charles Bidwell,Arrow Electronics
2583,Midwest,Charles Bidwell,Arrow Electronics
2595,Midwest,Charles Bidwell,Arrow Electronics
2617,Midwest,Charles Bidwell,Arrow Electronics
2597,Midwest,Charles Bidwell,Arrow Electronics
2620,Midwest,Charles Bidwell,Arrow Electronics
2621,Midwest,Charles Bidwell,Arrow Electronics
2622,Midwest,Charles Bidwell,Arrow Electronics
2623,Midwest,Charles Bidwell,Arrow Electronics
2624,Midwest,Charles Bidwell,Arrow Electronics
2625,Midwest,Charles Bidwell,Arrow Electronics
2626,Midwest,Charles Bidwell,Arrow Electronics
2627,Midwest,Charles Bidwell,Arrow Electronics
2628,Midwest,Charles Bidwell,Arrow Electronics
2629,Midwest,Charles Bidwell,Arrow Electronics
2630,Midwest,Charles Bidwell,Arrow Electronics
2631,Midwest,Charles Bidwell,Arrow Electronics
2632,Midwest,Charles Bidwell,Arrow Electronics
2633,Midwest,Charles Bidwell,Arrow Electronics
2572,Midwest,Charles Bidwell,Arrow Electronics
2619,Midwest,Charles Bidwell,Arrow Electronics
2618,Midwest,Charles Bidwell,Arrow Electronics
2616,Midwest,Charles Bidwell,Arrow Electronics
